"Content type";"Record Number";Acronym;Title;ID;Teaser;Programme;"Start date";"End date";Language;"Available languages";"Last updated";URL
project;86707;ANAEE;"Structuring Infrastructures for the ANAlysis and Experimentation on Ecosystem";212723;"This Design Study aims at implementing a new concept of integrated research infrastructures in Europe for research on agro-ecosystems and natural ecosystems and environment. This infrastructure consists in interfacing three types of platforms: (i)The in situ Long Term Experim...";FP7-INFRASTRUCTURES;2008-02-01;2010-01-31;en;en;"2017-05-29 13:24:54";https://cordis.europa.eu/project/rcn/86707_en.html
project;78579;MOLCONNECT;"Integration of genomics and biodiversity research: implementation of an international platform";19122;"We propose to establish an international cooperation network aiming at the application of cutting-edge genomics technologies in biodiversity and ecosystems research. The network will be initiated through the organisation of a workshop to be scheduled in August 2005. The networ...";FP6-LIFESCIHEALTH;2005-11-01;2006-10-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/78579_en.html
project;75943;IMAQUANIM;"Improved immunity of aquacultured animals";7103;"Based on important disease models, this project concerns development of a technological knowledge platform for a future improved immunity to infectious pathogens in the major aquacultured species in Europe (Atlantic salmon, rainbow trout, sea bream, sea bass, carp, mussel and ...";FP6-FOOD;2005-04-01;2010-09-30;en;en;"2011-05-17 00:00:00";https://cordis.europa.eu/project/rcn/75943_en.html
project;84244;DIVERSEEDS;"Networking on conservation and use of plant genetic resources in Europe and Asia";31317;"The centres of origin of important food crops, called Vavilov centres, are sidered to be crucial sources of genetic diversity for present and future crop-breeding programmes and thus for human food safety worldwide. Traditional crop varieties and crop wild relatives are often ...";FP6-FOOD;2006-12-01;2008-11-30;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/84244_en.html
project;84953;E.E.T.-PIPELINE;"European Embryonal tumour Pipeline";37260;"Treatment of embryonal tumours (ET) is a challenge for the pediatric oncologist. Innovative translational research is required to exploit available genomic data and implement state-of-the-art technologies to overcome the deficits of current diagnostic and treatment strategies....";FP6-LIFESCIHEALTH;2007-01-01;2009-12-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/84953_en.html
project;88867;PILGRIM;"Preventing community and nosocomial spread and infection with MRSA ST 398 - instruments for accelerated control and integrated risk management of antimicrobial resistance";223050;"Methicillin-resistant Staphylococcus aureus (MRSA) are of increasing concern both as community- and hospital-acquired pathogens. Since 2005, a specific clone, MRSA ST398 is spreading both in livestock populations and occupationally-exposed people resulting in human infection ...";FP7-HEALTH;2009-01-01;2011-12-31;en;en;"2017-05-29 21:51:27";https://cordis.europa.eu/project/rcn/88867_en.html
project;80095;BIOACTIVE-NET;"Assessment and dissemination of strategies for the extraction of BIOACTIVE-NET compounds from tomato, olive and grape processing residues";43035;"Cultivation and processing of tomato, olive, and grape are the main agricultural businesses in the South European countries. Production of tomato paste, olive oil, and grape juice/wine, respectively, lead to the generation of millions of tons of processing residues, which are ...";FP6-FOOD;2006-11-01;2008-11-30;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/80095_en.html
project;105950;SYSBIOFUN;"The interaction landscape between microbial colonization and functional genome of the host: a systems biology approach in fungal infections";310372;"Fungi such as Candida albicans are ubiquitous colonizers of human skin and mucosa. Fungal pathogens invade the host when host defence is diminished, and the combination of fungal and bacterial colonization modulates mucosal and systemic immune responses. Little is known of th...";FP7-IDEAS-ERC;2013-01-01;2017-12-31;en;en;"2017-05-08 15:26:43";https://cordis.europa.eu/project/rcn/105950_en.html
project;74246;EDEN;"EMERGING DISEASES IN A CHANGING EUROPEAN ENVIRONMENT";10284;"These last years, several vector-borne, parasitic or zoonotic diseases have (re)-emerged and spread in the European territory with major health, ecological, socio-economical and political consequences. Most of these outbreaks are linked to global and local changes resulting of...";FP6-SUSTDEV;2004-11-01;2010-05-31;en;en;"2010-10-07 00:02:53";https://cordis.europa.eu/project/rcn/74246_en.html
project;87569;"CHD PLATFORM";"Establishment of a European parent- and patient-oriented information and communication platform on Congenital Heart Defects";201676;"With this support action we intend the establishment of a European parent- and patient-oriented, web-based information and communication platform that helps to build up a large European network on congenital heart defects (CHD PLATFORM). The aim of this platform is to vertica...";FP7-HEALTH;2008-02-01;2010-01-31;en;en;"2017-05-30 17:22:48";https://cordis.europa.eu/project/rcn/87569_en.html
project;54813;HEALTHSAT;"Health Interactive Satellite Channel";IST-2000-25334;"R&D & feasibility study on the first interactive medium for distributing health and wellness programmes and personalised services to European citizens, via satellite and Internet direct to home digital TV sets, computers displays and mobile terminals. HEALTHSAT intends to deve...";FP5-IST;2000-12-01;2003-11-30;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/54813_en.html
project;63311;HKIS;"Integrated Software Platform for Biological and Biomedical Data Processing in Cancerology";IST-2001-38153;"Cancer is the second cause of death in Europe. New techniques using mixed data from the genome, transcriptome and proteome can be used for cancer detection and evaluation of therapy resulting in better diagnosis and treatment efficiency. To become widespread these techniques r...";FP5-IST;2002-07-01;2004-12-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/63311_en.html
project;74091;"TB-DRUG OLIGOCOLOR";"Development of a molecular platform for the simultaneous detection of Mycobacterium tuberculosis resistance to rifampicin and fluoroquinolones";516028;"The treatment success and the containment of drug-resistant tuberculosis rely on a timely laboratory diagnosis. In view of this, a versatile and user-friendly molecular platform is proposed for the identification of Mycobacterium tuberculosis in clinical s pecimens and the sim...";FP6-LIFESCIHEALTH;2004-12-23;2007-09-22;en;en;"2010-01-05 00:00:00";https://cordis.europa.eu/project/rcn/74091_en.html
project;64195;CF-CHIP;"Novel genechip technology for simplified detection of molecularly heterogeneous genetic diseases: detection of cystic fibrosis as a model";QLK3-CT-2001-01982;"The objective is to develop and demonstrate a new gene array technology platform for high-throughput diagnosis of CF and CF-related diseases as a model for other genetic diseases. An integrated magnetic sensor-based gene array will be developed comprising novel giant magneto r...";"FP5-LIFE QUALITY";2002-02-01;2005-01-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/64195_en.html
project;60685;DOCMEM;"Ubiquitous, Permanent and Intelligent Access to Patients' Medical Files";IST-2000-25318;"The DOCMEM project targets medical doctors and aims at offering them intelligent access to their patients' medical files. The Project will develop a technology and will customise it to the needs of both ambulatory and in-hospital practitioners for the context of in-hospital an...";FP5-IST;2001-07-01;2003-06-30;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/60685_en.html
project;54831;TOPCARE;"Implementation of a telematic homecare platform in cooperative health care provider networks";IST-2000-25068;"The overall objective of TOPCARE is to develop technical devices and telecommunication structures and to lay the organizational groundwork for bringing co-operative health care services into the home of patients.
A telematic homecare platform will be established and evaluated ...";FP5-IST;2001-01-01;2003-12-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/54831_en.html
project;46111;;"Determination of foodweb structure in aquatic ecosystems by combined use of stable isotopes, fatty acids, and organic pollutants as tracers";FMBI983141;;FP4-TMR;1998-09-01;2000-08-31;en;en;"2001-12-07 00:00:00";https://cordis.europa.eu/project/rcn/46111_en.html
